iter	RMSE
0	13.17363747
1	13.00557533
2	12.85870024
3	12.71444367
4	12.58305501
5	12.46103634
6	12.33506095
7	12.22675209
8	12.1070842
9	12.01198535
10	11.93190557
11	11.85287096
12	11.78769513
13	11.7194702
14	11.64472248
15	11.57983829
16	11.50348732
17	11.43544086
18	11.36493439
19	11.31582952
20	11.25994592
21	11.19998815
22	11.15816993
23	11.11375348
24	11.06459283
25	11.02064538
26	10.98215457
27	10.93403082
28	10.89400982
29	10.87027823
30	10.83694944
31	10.80391605
32	10.77789325
33	10.7448283
34	10.72329478
35	10.70161137
36	10.67324691
37	10.65051166
38	10.62796405
39	10.60235117
40	10.56847476
41	10.54316358
42	10.52773463
43	10.50926113
44	10.49361306
45	10.47063462
46	10.45176131
47	10.4341706
48	10.41109739
49	10.3942042
50	10.36921633
51	10.35148363
52	10.32743659
53	10.30640643
54	10.28937005
55	10.27025984
56	10.25193234
57	10.23124681
58	10.21764006
59	10.20465
60	10.18934112
61	10.17352912
62	10.161908
63	10.15297347
64	10.13798046
65	10.11740958
66	10.10350208
67	10.08943203
68	10.07600501
69	10.05272062
70	10.03380139
71	10.01621243
72	10.00593645
73	9.994157126
74	9.980052551
75	9.964266627
76	9.950048735
77	9.934104423
78	9.926051076
79	9.90986412
80	9.901047237
81	9.89114804
82	9.870539183
83	9.865563893
84	9.855890155
85	9.844330936
86	9.830940322
87	9.815803999
88	9.805196865
89	9.79804247
90	9.786420634
91	9.778346109
92	9.769556153
93	9.760114769
94	9.750174007
95	9.736092553
96	9.72907629
97	9.722466138
98	9.712955596
99	9.705759871
100	9.700133224
101	9.686535114
102	9.676099827
103	9.666415972
104	9.658021177
105	9.6487383
106	9.639526424
107	9.62701977
108	9.61681435
109	9.603482046
110	9.591372111
111	9.579834017
112	9.572936436
113	9.563383892
114	9.557830572
115	9.548989345
116	9.533160089
117	9.52428163
118	9.507557745
119	9.498905992
120	9.488634336
121	9.480622445
122	9.472959111
123	9.46905014
124	9.462452153
125	9.455000075
126	9.442904344
127	9.434774001
128	9.424764792
129	9.416810547
130	9.409279714
131	9.399294106
132	9.390988608
133	9.378167698
134	9.367864618
135	9.361979551
136	9.353744994
137	9.349336154
138	9.341414525
139	9.333220213
140	9.325628227
141	9.317144912
142	9.310511905
143	9.303939914
144	9.296408074
145	9.283789749
146	9.276640067
147	9.268918383
148	9.257153596
149	9.249949549
150	9.240448593
151	9.230847579
152	9.225141287
153	9.216319836
154	9.207431204
155	9.195625547
156	9.184732297
157	9.178360567
158	9.170189547
159	9.160365225
160	9.154305054
161	9.143607409
162	9.13475807
163	9.128239153
164	9.12071662
165	9.113349802
166	9.102864771
167	9.095338494
168	9.088859325
169	9.080560193
170	9.073227861
171	9.061670689
172	9.055107886
173	9.046853986
174	9.04349625
175	9.036803831
176	9.030142778
177	9.023640845
178	9.017606446
179	9.00855531
180	9.002855996
181	8.998312651
182	8.989080971
183	8.981297105
184	8.975514856
185	8.97056222
186	8.963080043
187	8.959318481
188	8.952243334
189	8.945121816
190	8.936869151
191	8.925659503
192	8.919681382
193	8.912050581
194	8.905928539
195	8.900568371
196	8.89516996
197	8.891879815
198	8.885709247
199	8.875846345
200	8.87000805
201	8.863250242
202	8.860881075
203	8.850879042
204	8.843505937
205	8.839337464
206	8.829892768
207	8.824809982
208	8.818582498
209	8.811794112
210	8.807913049
211	8.802737236
212	8.797482636
213	8.787654108
214	8.77969949
215	8.772615848
216	8.765908847
217	8.760365819
218	8.752409926
219	8.748234902
220	8.739353715
221	8.735769772
222	8.732121972
223	8.728090343
224	8.722167775
225	8.716995481
226	8.710857461
227	8.705843011
228	8.697645047
229	8.689898995
230	8.678309487
231	8.671341742
232	8.664816245
233	8.658392556
234	8.652696722
235	8.647140133
236	8.643094135
237	8.637899883
238	8.629973156
239	8.626136717
240	8.620848627
241	8.61465529
242	8.610384652
243	8.602222205
244	8.599801555
245	8.592345773
246	8.587355815
247	8.58259545
248	8.575692012
249	8.568667017
250	8.562988125
251	8.55726671
252	8.555249693
253	8.549134198
254	8.543578503
255	8.537314988
256	8.531774589
257	8.522518701
258	8.518505164
259	8.512950153
260	8.507210173
261	8.504977434
262	8.499920017
263	8.499015443
264	8.494362688
265	8.487555762
266	8.479723877
267	8.474628076
268	8.468540416
269	8.46320381
270	8.459426665
271	8.452992328
272	8.450091925
273	8.445729077
274	8.4424177
275	8.44010202
276	8.435676222
277	8.430537798
278	8.425325589
279	8.419220486
280	8.415697717
281	8.410843921
282	8.404699863
283	8.399547467
284	8.394995271
285	8.390907261
286	8.383048527
287	8.37703636
288	8.374141901
289	8.371137023
290	8.369807785
291	8.364901652
292	8.363090455
293	8.357770537
294	8.353014938
295	8.347823367
296	8.341285515
297	8.335234731
298	8.331034923
299	8.326249522
300	8.323131683
301	8.319910254
302	8.317143529
303	8.313233338
304	8.305444338
305	8.30120259
306	8.294172338
307	8.289675805
308	8.282491898
309	8.274743952
310	8.268965615
311	8.265628703
312	8.262129748
313	8.261103804
314	8.258445981
315	8.254999103
316	8.251458062
317	8.247329216
318	8.243235807
319	8.240318907
320	8.234485576
321	8.230278375
322	8.226955245
323	8.224596151
324	8.221710612
325	8.219090206
326	8.213281814
327	8.209817346
328	8.203285648
329	8.199180493
330	8.193104545
331	8.188873956
332	8.186535245
333	8.184294375
334	8.176456969
335	8.173738065
336	8.168841703
337	8.165677647
338	8.160552251
339	8.156981164
340	8.155219044
341	8.150160178
342	8.149161786
343	8.143270672
344	8.139663687
345	8.136641931
346	8.135316114
347	8.129998455
348	8.125093585
349	8.120470958
350	8.115907092
351	8.112699035
352	8.10827225
353	8.104318346
354	8.099759724
355	8.095571772
356	8.092352217
357	8.088853412
358	8.082084283
359	8.078280513
360	8.074727074
361	8.071033304
362	8.069089175
363	8.06530286
364	8.059104219
365	8.056884818
366	8.054597965
367	8.052568159
368	8.04866339
369	8.045001799
370	8.041137924
371	8.038225764
372	8.034185103
373	8.02801406
374	8.024506446
375	8.020841347
376	8.017691156
377	8.01158962
378	8.007540428
379	8.005178939
380	8.002442975
381	8.000575981
382	7.997010437
383	7.993001294
384	7.987134089
385	7.983174663
386	7.980569025
387	7.976884443
388	7.973759366
389	7.972973597
390	7.971438377
391	7.968358078
392	7.965251829
393	7.962514744
394	7.958945066
395	7.955210379
396	7.951343971
397	7.948862125
398	7.945862659
399	7.941995735
400	7.937919941
401	7.933304027
402	7.928776044
403	7.926490394
404	7.922681024
405	7.917192829
406	7.914219621
407	7.911605026
408	7.9089695
409	7.905584029
410	7.901919196
411	7.900511367
412	7.898439822
413	7.894534459
414	7.892264249
415	7.889413136
416	7.884338835
417	7.881041317
418	7.878514485
419	7.876462434
420	7.87343218
421	7.871079525
422	7.867321526
423	7.862658322
424	7.857058969
425	7.854204309
426	7.850212776
427	7.847252819
428	7.843326001
429	7.840949851
430	7.838708098
431	7.835870491
432	7.833336854
433	7.830642118
434	7.827839604
435	7.824931016
436	7.822665374
437	7.820638762
438	7.818140655
439	7.815090634
440	7.81394593
441	7.81232145
442	7.809634536
443	7.807667628
444	7.802961848
445	7.797858684
446	7.794857617
447	7.792791739
448	7.78769861
449	7.785605576
450	7.783404368
451	7.779520772
452	7.777836776
453	7.774245067
454	7.769641662
455	7.766436541
456	7.764311957
457	7.76185171
458	7.758966915
459	7.756397801
460	7.753911246
461	7.751023664
462	7.74853534
463	7.745129447
464	7.743227124
465	7.739500243
466	7.738399536
467	7.733960328
468	7.732015356
469	7.730323142
470	7.726487021
471	7.723545352
472	7.720746169
473	7.717344143
474	7.71504182
475	7.712173389
476	7.709497953
477	7.706602553
478	7.702963731
479	7.701155832
480	7.699068408
481	7.696866396
482	7.695389736
483	7.691730316
484	7.689847066
485	7.688750784
486	7.685552776
487	7.68407762
488	7.680800277
489	7.679471595
490	7.676450647
491	7.674040435
492	7.672430028
493	7.669078411
494	7.664185323
495	7.6616831
496	7.660746198
497	7.658717161
498	7.656542703
499	7.652554867
500	7.650603399
501	7.645896367
502	7.643269635
503	7.640368006
504	7.635197776
505	7.632144823
506	7.630038362
507	7.627675348
508	7.625629755
509	7.622770289
510	7.619632705
511	7.617670655
512	7.615974514
513	7.613536741
514	7.611855042
515	7.608835184
516	7.608018743
517	7.604208728
518	7.599518896
519	7.596657338
520	7.593385784
521	7.590922063
522	7.589347855
523	7.586652575
524	7.584385341
525	7.581960183
526	7.579920371
527	7.576636628
528	7.574322039
529	7.572094595
530	7.569510632
531	7.568108572
532	7.565594789
533	7.563676068
534	7.56153745
535	7.557116785
536	7.555740087
537	7.550880476
538	7.548845647
539	7.544648503
540	7.541386176
541	7.539113899
542	7.53717119
543	7.534509474
544	7.531230026
545	7.529440265
546	7.527515775
547	7.525705876
548	7.524647274
549	7.519739438
550	7.516939665
551	7.513374477
552	7.51061981
553	7.507759032
554	7.505988847
555	7.50494801
556	7.503270972
557	7.501751887
558	7.500108441
559	7.495225094
560	7.492847841
561	7.489682927
562	7.487238526
563	7.484259886
564	7.479637237
565	7.47718205
566	7.474140099
567	7.471965499
568	7.469038415
569	7.467272411
570	7.46340906
571	7.461192873
572	7.458734675
573	7.454873549
574	7.453901058
575	7.45200723
576	7.44994705
577	7.447524546
578	7.444575886
579	7.442754528
580	7.440866478
581	7.439236832
582	7.435302884
583	7.431234096
584	7.425996011
585	7.42212476
586	7.417688814
587	7.417230647
588	7.416069174
589	7.413357052
590	7.41059136
591	7.405852985
592	7.402098004
593	7.400671373
594	7.398917826
595	7.396422085
596	7.393794365
597	7.390959033
