iter	Passed	Remaining
0	103	103455
1	134	67094
2	165	55069
3	190	47315
4	207	41301
5	234	38915
6	265	37613
7	298	36978
8	326	35967
9	357	35360
10	379	34147
11	401	33091
12	426	32415
13	448	31595
14	472	31051
15	494	30393
16	514	29747
17	536	29288
18	556	28709
19	576	28259
20	596	27817
21	619	27529
22	639	27183
23	661	26917
24	692	27008
25	719	26946
26	739	26652
27	774	26888
28	799	26752
29	829	26811
30	857	26813
31	887	26833
32	909	26659
33	931	26478
34	964	26595
35	990	26517
36	1018	26502
37	1042	26387
38	1065	26260
39	1085	26046
40	1106	25889
41	1129	25769
42	1149	25593
43	1173	25492
44	1193	25338
45	1217	25256
46	1237	25090
47	1257	24932
48	1281	24869
49	1305	24813
50	1324	24651
51	1351	24641
52	1372	24514
53	1398	24506
54	1418	24378
55	1434	24181
56	1454	24068
57	1472	23918
58	1492	23800
59	1514	23732
60	1535	23635
61	1557	23557
62	1577	23464
63	1602	23440
64	1626	23400
65	1648	23322
66	1665	23196
67	1685	23100
68	1711	23089
69	1729	22980
70	1753	22942
71	1805	23270
72	1854	23553
73	1903	23818
74	1951	24065
75	1996	24277
76	2025	24276
77	2047	24206
78	2081	24272
79	2107	24238
80	2127	24143
81	2148	24055
82	2171	23988
83	2190	23883
84	2211	23807
85	2228	23684
86	2246	23578
87	2269	23525
88	2289	23440
89	2313	23392
90	2338	23356
91	2356	23256
92	2383	23248
93	2406	23193
94	2426	23110
95	2451	23082
96	2479	23079
97	2499	23006
98	2517	22915
99	2538	22850
100	2559	22778
101	2580	22720
102	2598	22630
103	2615	22535
104	2636	22472
105	2651	22364
106	2679	22362
107	2709	22382
108	2730	22321
109	2751	22260
110	2773	22209
111	2794	22153
112	2816	22106
113	2837	22051
114	2854	21967
115	2876	21918
116	2898	21876
117	2917	21805
118	2936	21740
119	2959	21702
120	2981	21657
121	3000	21595
122	3022	21552
123	3043	21500
124	3063	21445
125	3088	21421
126	3112	21392
127	3133	21345
128	3152	21287
129	3168	21203
130	3196	21205
131	3216	21150
132	3241	21132
133	3261	21080
134	3281	21023
135	3301	20973
136	3322	20926
137	3342	20881
138	3361	20822
139	3378	20755
140	3402	20730
141	3419	20659
142	3436	20593
143	3462	20582
144	3484	20544
145	3507	20517
146	3528	20475
147	3551	20447
148	3570	20392
149	3585	20318
150	3611	20304
151	3629	20249
152	3648	20199
153	3671	20169
154	3689	20114
155	3712	20083
156	3729	20027
157	3751	19994
158	3773	19960
159	3795	19926
160	3824	19929
161	3845	19889
162	3868	19866
163	3889	19826
164	3908	19780
165	3924	19718
166	3946	19684
167	3965	19639
168	3984	19590
169	4004	19553
170	4025	19517
171	4047	19484
172	4066	19438
173	4089	19413
174	4110	19378
175	4126	19320
176	4143	19265
177	4166	19239
178	4188	19209
179	4210	19179
180	4227	19127
181	4247	19088
182	4269	19060
183	4289	19024
184	4313	19000
185	4342	19006
186	4369	18998
187	4403	19019
188	4428	19000
189	4454	18988
190	4472	18944
191	4491	18902
192	4512	18866
193	4533	18834
194	4553	18797
195	4574	18764
196	4597	18739
197	4618	18707
198	4640	18677
199	4661	18647
200	4689	18642
201	4707	18598
202	4729	18566
203	4748	18530
204	4764	18475
205	4784	18440
206	4803	18400
207	4826	18377
208	4846	18342
209	4864	18301
210	4884	18265
211	4906	18237
212	4925	18198
213	4946	18169
214	4966	18134
215	4987	18103
216	5009	18077
217	5039	18077
218	5063	18057
219	5093	18059
220	5113	18023
221	5135	17997
222	5162	17989
223	5192	17989
224	5217	17971
225	5245	17964
226	5276	17968
227	5298	17940
228	5328	17938
229	5359	17941
230	5417	18036
231	5476	18128
232	5522	18180
233	5588	18293
234	5622	18302
235	5659	18321
236	5693	18328
237	5736	18365
238	5789	18434
239	5825	18448
240	5846	18414
241	5867	18379
242	5887	18340
243	5915	18327
244	5940	18307
245	5973	18307
246	6002	18298
247	6022	18262
248	6045	18232
249	6068	18204
250	6093	18184
251	6119	18163
252	6144	18141
253	6166	18112
254	6187	18077
255	6211	18050
256	6232	18019
257	6253	17985
258	6274	17950
259	6299	17928
260	6317	17887
261	6334	17844
262	6357	17816
263	6379	17784
264	6398	17746
265	6418	17711
266	6442	17686
267	6460	17646
268	6486	17627
269	6510	17601
270	6539	17590
271	6568	17580
272	6595	17563
273	6617	17533
274	6654	17543
275	6681	17527
276	6701	17491
277	6724	17463
278	6744	17428
279	6762	17389
280	6782	17355
281	6801	17316
282	6821	17282
283	6842	17251
284	6864	17221
285	6885	17188
286	6902	17148
287	6928	17128
288	6945	17088
289	6965	17052
290	6982	17011
291	7002	16978
292	7025	16952
293	7047	16923
294	7063	16879
295	7088	16860
296	7113	16838
297	7132	16802
298	7151	16766
299	7170	16732
300	7187	16690
301	7206	16656
302	7227	16624
303	7245	16588
304	7263	16550
305	7282	16515
306	7298	16475
307	7316	16439
308	7337	16409
309	7362	16386
310	7388	16368
311	7410	16340
312	7431	16310
313	7453	16283
314	7474	16253
315	7498	16231
316	7522	16208
317	7538	16166
318	7579	16181
319	7621	16196
320	7662	16207
321	7704	16222
322	7751	16246
323	7788	16249
324	7812	16225
325	7854	16238
326	7874	16207
327	7898	16181
328	7915	16143
329	7940	16122
330	7962	16092
331	7981	16058
332	8002	16028
333	8024	16001
334	8047	15974
335	8067	15942
336	8087	15911
337	8110	15885
338	8129	15851
339	8148	15817
340	8170	15790
341	8190	15758
342	8208	15723
343	8226	15688
344	8245	15654
345	8268	15628
346	8286	15593
347	8304	15559
348	8323	15525
349	8341	15490
350	8365	15467
351	8384	15435
352	8403	15402
353	8421	15368
354	8442	15339
355	8461	15307
356	8480	15274
357	8504	15250
358	8526	15224
359	8546	15193
360	8570	15169
361	8591	15141
362	8609	15107
363	8630	15079
364	8651	15050
365	8669	15017
366	8687	14984
367	8711	14961
368	8727	14924
369	8753	14903
370	8773	14874
371	8795	14848
372	8816	14820
373	8837	14792
374	8857	14762
375	8875	14729
376	8900	14708
377	8920	14678
378	8941	14651
379	8960	14619
380	8981	14592
381	9002	14564
382	9025	14540
383	9053	14523
384	9074	14495
385	9098	14472
386	9125	14454
387	9144	14423
388	9161	14390
389	9183	14363
390	9203	14334
391	9225	14308
392	9243	14277
393	9264	14250
394	9288	14226
395	9311	14202
396	9332	14175
397	9354	14149
398	9380	14129
399	9400	14100
400	9423	14076
401	9444	14049
402	9475	14037
403	9495	14008
404	9512	13975
405	9535	13951
406	9556	13923
407	9578	13898
408	9601	13873
409	9620	13844
410	9638	13813
411	9657	13783
412	9683	13763
413	9701	13732
414	9724	13707
415	9745	13681
416	9773	13663
417	9793	13635
418	9810	13603
419	9829	13574
420	9849	13546
421	9871	13521
422	9891	13492
423	9910	13463
424	9932	13437
425	9952	13409
426	9973	13384
427	9993	13356
428	10013	13328
429	10032	13298
430	10053	13271
431	10074	13245
432	10093	13217
433	10112	13187
434	10132	13161
435	10155	13136
436	10173	13107
437	10198	13085
438	10222	13062
439	10255	13052
440	10282	13033
441	10304	13008
442	10326	12983
443	10353	12965
444	10379	12945
445	10400	12919
446	10426	12898
447	10443	12868
448	10465	12842
449	10488	12819
450	10520	12806
451	10542	12781
452	10563	12755
453	10585	12730
454	10604	12701
455	10628	12679
456	10647	12651
457	10671	12628
458	10701	12612
459	10719	12583
460	10743	12561
461	10765	12536
462	10784	12508
463	10801	12478
464	10823	12453
465	10844	12426
466	10863	12398
467	10881	12369
468	10903	12345
469	10924	12319
470	10941	12289
471	10962	12263
472	10985	12239
473	11019	12228
474	11055	12219
475	11086	12204
476	11118	12190
477	11164	12192
478	11209	12192
479	11259	12197
480	11294	12186
481	11320	12165
482	11338	12136
483	11360	12111
484	11397	12102
485	11424	12082
486	11446	12057
487	11468	12033
488	11490	12007
489	11511	11981
490	11530	11952
491	11552	11928
492	11573	11901
493	11599	11881
494	11619	11853
495	11646	11834
496	11671	11812
497	11694	11788
498	11719	11766
499	11746	11746
500	11763	11716
501	11784	11690
502	11809	11668
503	11830	11642
504	11850	11615
505	11868	11587
506	11886	11558
507	11902	11528
508	11926	11504
509	11944	11476
510	11965	11450
511	11988	11426
512	12008	11400
513	12028	11373
514	12050	11348
515	12070	11321
516	12093	11298
517	12112	11270
518	12131	11243
519	12151	11216
520	12173	11191
521	12192	11164
522	12215	11140
523	12236	11115
524	12252	11085
525	12279	11065
526	12322	11059
527	12360	11049
528	12396	11037
529	12421	11015
530	12441	10988
531	12463	10964
532	12484	10938
533	12502	10910
534	12526	10887
535	12545	10860
536	12564	10833
537	12587	10809
538	12606	10782
539	12625	10754
540	12645	10728
541	12666	10703
542	12682	10673
543	12700	10646
544	12723	10622
545	12743	10596
546	12763	10570
547	12783	10544
548	12802	10517
549	12828	10496
550	12850	10471
551	12868	10444
552	12891	10420
553	12927	10407
554	12956	10388
555	12988	10372
556	13009	10346
557	13027	10319
558	13050	10295
559	13073	10272
560	13093	10246
561	13111	10218
562	13135	10195
563	13153	10168
564	13173	10142
565	13190	10114
566	13212	10090
567	13232	10063
568	13250	10037
569	13275	10014
570	13296	9989
571	13320	9967
572	13339	9940
573	13356	9912
574	13378	9888
575	13401	9864
576	13422	9840
577	13439	9812
578	13462	9788
579	13479	9760
580	13497	9734
581	13517	9708
582	13540	9685
583	13556	9657
584	13579	9633
585	13597	9606
586	13615	9579
587	13636	9554
588	13657	9529
589	13675	9503
590	13692	9475
591	13712	9450
592	13745	9434
593	13767	9409
594	13790	9386
595	13807	9359
596	13822	9331
597	13836	9301
598	13850	9272
599	13863	9242
600	13879	9214
601	13894	9186
602	13908	9156
603	13925	9130
604	13949	9107
605	13997	9100
606	14034	9086
607	14077	9075
608	14116	9063
609	14169	9059
610	14193	9036
611	14240	9028
612	14256	9000
613	14276	8974
614	14293	8948
615	14311	8921
616	14328	8894
617	14345	8867
618	14362	8839
619	14377	8812
620	14393	8784
621	14409	8756
622	14422	8727
623	14437	8699
624	14453	8671
625	14468	8644
626	14488	8619
627	14505	8592
628	14520	8564
629	14537	8537
630	14553	8510
631	14571	8484
632	14589	8458
633	14607	8432
634	14630	8409
635	14644	8381
636	14663	8356
637	14680	8329
638	14696	8302
639	14713	8276
640	14730	8250
641	14746	8223
642	14762	8196
643	14778	8169
644	14793	8141
645	14809	8115
646	14828	8090
647	14845	8064
648	14867	8041
649	14885	8015
650	14908	7992
651	14930	7969
652	14962	7951
653	14995	7933
654	15020	7911
655	15056	7895
656	15089	7877
657	15108	7852
658	15145	7836
659	15169	7814
660	15197	7794
661	15227	7774
662	15251	7752
663	15288	7736
664	15313	7714
665	15346	7696
666	15378	7677
667	15398	7653
668	15418	7628
669	15442	7606
670	15470	7585
671	15497	7564
672	15529	7545
673	15573	7532
674	15599	7511
675	15636	7494
676	15665	7473
677	15696	7454
678	15726	7434
679	15763	7418
680	15786	7395
681	15817	7375
682	15853	7358
683	15887	7340
684	15912	7317
685	15951	7301
686	15990	7285
687	16007	7259
688	16033	7237
689	16058	7214
690	16087	7193
691	16121	7175
692	16143	7151
693	16163	7126
694	16190	7105
695	16228	7088
696	16268	7072
697	16295	7050
698	16326	7030
699	16369	7015
700	16403	6996
701	16433	6976
702	16456	6952
703	16482	6930
704	16503	6905
705	16531	6884
706	16555	6861
707	16583	6839
708	16604	6814
709	16626	6791
710	16644	6765
711	16664	6740
712	16681	6714
713	16698	6688
714	16718	6664
715	16738	6639
716	16760	6615
717	16779	6590
718	16797	6564
719	16818	6540
720	16834	6514
721	16850	6488
722	16865	6461
723	16879	6434
724	16892	6407
725	16907	6380
726	16921	6354
727	16940	6329
728	16953	6302
729	16966	6275
730	16983	6249
731	16998	6223
732	17013	6197
733	17029	6171
734	17045	6145
735	17063	6120
736	17077	6094
737	17092	6068
738	17106	6041
739	17120	6015
740	17135	5989
741	17150	5963
742	17164	5937
743	17179	5911
744	17193	5885
745	17215	5861
746	17233	5836
747	17246	5810
748	17261	5784
749	17275	5758
750	17299	5735
751	17322	5712
752	17346	5689
753	17366	5665
754	17379	5639
755	17393	5613
756	17406	5587
757	17420	5561
758	17434	5535
759	17450	5510
760	17463	5484
761	17479	5459
762	17493	5433
763	17512	5409
764	17526	5383
765	17540	5358
766	17553	5332
767	17565	5306
768	17580	5281
769	17594	5255
770	17608	5229
771	17621	5204
772	17634	5178
773	17647	5152
774	17662	5127
775	17676	5102
776	17693	5078
777	17708	5053
778	17722	5027
779	17738	5003
780	17757	4979
781	17773	4954
